# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	102	1058	-						9132512	METIN_RS00005	957		old_locus_tag=Metin_0001
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	102	1058	-	WP_013099421.1	WP_013099421.1		DHH family phosphoesterase		9132512	METIN_RS00005	957	318	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	1064	2203	-					sat	9131000	METIN_RS00010	1140		old_locus_tag=Metin_0002
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	1064	2203	-	WP_013099422.1	WP_013099422.1		sulfate adenylyltransferase	sat	9131000	METIN_RS00010	1140	379	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	3319	3999	-					phoU	9131001	METIN_RS00015	681		old_locus_tag=Metin_0003
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	3319	3999	-	WP_013099423.1	WP_013099423.1		phosphate signaling complex protein PhoU	phoU	9131001	METIN_RS00015	681	226	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	4010	4768	-					pstB	60552798	METIN_RS07690	759		old_locus_tag=Metin_0004
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	4010	4768	-	WP_048203239.1	WP_048203239.1		phosphate ABC transporter ATP-binding protein PstB	pstB	60552798	METIN_RS07690	759	252	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	4781	5620	-					pstA	60552799	METIN_RS07695	840		old_locus_tag=Metin_0005
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	4781	5620	-	WP_013099425.1	WP_013099425.1		phosphate ABC transporter permease PstA	pstA	60552799	METIN_RS07695	840	279	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	5607	6530	-					pstC	9131004	METIN_RS00030	924		old_locus_tag=Metin_0006
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	5607	6530	-	WP_013099426.1	WP_013099426.1		phosphate ABC transporter permease subunit PstC	pstC	9131004	METIN_RS00030	924	307	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	6613	6966	-					hypA	9131005	METIN_RS00035	354		old_locus_tag=Metin_0007
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	6613	6966	-	WP_013099427.1	WP_013099427.1		hydrogenase maturation nickel metallochaperone HypA	hypA	9131005	METIN_RS00035	354	117	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	7002	7295	+						9131006	METIN_RS00040	294		old_locus_tag=Metin_0008
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	7002	7295	+	WP_013099428.1	WP_013099428.1		DUF357 domain-containing protein		9131006	METIN_RS00040	294	97	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	7264	7782	+						9131007	METIN_RS00045	519		old_locus_tag=Metin_0009
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	7264	7782	+	WP_157198799.1	WP_157198799.1		CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase		9131007	METIN_RS00045	519	172	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	7784	8272	+						9131008	METIN_RS00050	489		old_locus_tag=Metin_0010
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	7784	8272	+	WP_013099430.1	WP_013099430.1		ACT domain-containing protein		9131008	METIN_RS00050	489	162	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	8269	9270	+						9131009	METIN_RS00055	1002		old_locus_tag=Metin_0011
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	8269	9270	+	WP_013099431.1	WP_013099431.1		homoserine dehydrogenase		9131009	METIN_RS00055	1002	333	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	9254	10546	-						9131010	METIN_RS00060	1293		old_locus_tag=Metin_0012
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	9254	10546	-	WP_013099432.1	WP_013099432.1		DHH family phosphoesterase		9131010	METIN_RS00060	1293	430	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	10552	11451	-						9131011	METIN_RS00065	900		old_locus_tag=Metin_0013
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	10552	11451	-	WP_013099433.1	WP_013099433.1		calcium/sodium antiporter		9131011	METIN_RS00065	900	299	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	11448	12596	-						9131012	METIN_RS00070	1149		old_locus_tag=Metin_0014
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	11448	12596	-	WP_013099434.1	WP_013099434.1		bis-aminopropyl spermidine synthase family protein		9131012	METIN_RS00070	1149	382	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	12606	13904	-						9131013	METIN_RS00075	1299		old_locus_tag=Metin_0015
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	12606	13904	-	WP_013099435.1	WP_013099435.1		phosphomannomutase/phosphoglucomutase		9131013	METIN_RS00075	1299	432	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	13977	14798	+						9131014	METIN_RS00080	822		old_locus_tag=Metin_0016
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	13977	14798	+	WP_013099436.1	WP_013099436.1		2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase		9131014	METIN_RS00080	822	273	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	14799	14978	-						9131015	METIN_RS00085	180		old_locus_tag=Metin_0017
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	14799	14978	-	WP_013099437.1	WP_013099437.1		hypothetical protein		9131015	METIN_RS00085	180	59	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	14981	15235	-						9131016	METIN_RS00090	255		old_locus_tag=Metin_0018
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	14981	15235	-	WP_013099438.1	WP_013099438.1		hypothetical protein		9131016	METIN_RS00090	255	84	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	15393	16088	+						9131017	METIN_RS00095	696		old_locus_tag=Metin_0019
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	15393	16088	+	WP_013099439.1	WP_013099439.1		hypothetical protein		9131017	METIN_RS00095	696	231	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	16101	17126	+						9131018	METIN_RS00100	1026		old_locus_tag=Metin_0020
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	16101	17126	+	WP_013099440.1	WP_013099440.1		oligosaccharide repeat unit polymerase family protein		9131018	METIN_RS00100	1026	341	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	17087	18211	+						9131019	METIN_RS00105	1125		old_locus_tag=Metin_0021
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	17087	18211	+	WP_013099441.1	WP_013099441.1		hypothetical protein		9131019	METIN_RS00105	1125	374	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	18208	18906	+						9131020	METIN_RS00110	699		old_locus_tag=Metin_0022
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	18208	18906	+	WP_013099442.1	WP_013099442.1		thymidylate synthase		9131020	METIN_RS00110	699	232	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	18898	19983	-						9131021	METIN_RS00115	1086		old_locus_tag=Metin_0023
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	18898	19983	-	WP_013099443.1	WP_013099443.1		ABC transporter ATP-binding protein		9131021	METIN_RS00115	1086	361	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	20003	20872	-						9131022	METIN_RS00120	870		old_locus_tag=Metin_0024
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	20003	20872	-	WP_013099444.1	WP_013099444.1		carbohydrate ABC transporter permease		9131022	METIN_RS00120	870	289	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	20873	21814	-						9131023	METIN_RS00125	942		old_locus_tag=Metin_0025
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	20873	21814	-	WP_013099445.1	WP_013099445.1		sugar ABC transporter permease		9131023	METIN_RS00125	942	313	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	21836	23458	-						9131024	METIN_RS00130	1623		old_locus_tag=Metin_0026
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	21836	23458	-	WP_013099446.1	WP_013099446.1		extracellular solute-binding protein		9131024	METIN_RS00130	1623	540	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	23602	24594	+						9131025	METIN_RS00135	993		old_locus_tag=Metin_0027
CDS	with_protein	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	23602	24594	+	WP_013099447.1	WP_013099447.1		nucleotidyltransferase domain-containing protein		9131025	METIN_RS00135	993	330	
gene	protein_coding	GCF_000092305.1	Primary Assembly	chromosome		NC_014122.1	24591	25454	+					mvk	9131026	METIN_RS00140	864		old_locus_tag=Metin_0028
