# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000091665.1	Primary Assembly	chromosome		NC_000909.1	2216	3343	-						1450840	MJ_RS00005	1128		old_locus_tag=MJ0001,MJ_0001
CDS	with_protein	GCF_000091665.1	Primary Assembly	chromosome		NC_000909.1	2216	3343	-	WP_010869494.1	WP_010869494.1		pyridoxal phosphate-dependent aminotransferase		1450840	MJ_RS00005	1128	375	
gene	protein_coding	GCF_000091665.1	Primary Assembly	chromosome		NC_000909.1	3340	4059	-						1450841	MJ_RS00010	720		old_locus_tag=MJ0002,MJ_0002
CDS	with_protein	GCF_000091665.1	Primary Assembly	chromosome		NC_000909.1	3340	4059	-	WP_244409429.1	WP_244409429.1		nucleotidyltransferase domain-containing protein		1450841	MJ_RS00010	720	239	
gene	protein_coding	GCF_000091665.1	Primary Assembly	chromosome		NC_000909.1	4911	5381	+						1450842	MJ_RS00020	471		old_locus_tag=MJ0003,MJ_0003
CDS	with_protein	GCF_000091665.1	Primary Assembly	chromosome		NC_000909.1	4911	5381	+	WP_010869496.1	WP_010869496.1		hypothetical protein		1450842	MJ_RS00020	471	156	
gene	protein_coding	GCF_000091665.1	Primary Assembly	chromosome		NC_000909.1	5378	6109	+						1450843	MJ_RS00025	732		old_locus_tag=MJ0004,MJ_0004
CDS	with_protein	GCF_000091665.1	Primary Assembly	chromosome		NC_000909.1	5378	6109	+	WP_010869497.1	WP_010869497.1		acyl-CoA dehydratase activase		1450843	MJ_RS00025	732	243	
gene	protein_coding	GCF_000091665.1	Primary Assembly	chromosome		NC_000909.1	6111	7250	-						1450844	MJ_RS00030	1140		old_locus_tag=MJ0005,MJ_0005
CDS	with_protein	GCF_000091665.1	Primary Assembly	chromosome		NC_000909.1	6111	7250	-	WP_010869498.1	WP_010869498.1		Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C-terminal domain		1450844	MJ_RS00030	1140	379	
gene	protein_coding	GCF_000091665.1	Primary Assembly	chromosome		NC_000909.1	7338	8474	-						1450845	MJ_RS00035	1137		old_locus_tag=MJ0006,MJ_0006
CDS	with_protein	GCF_000091665.1	Primary Assembly	chromosome		NC_000909.1	7338	8474	-	WP_010869499.1	WP_010869499.1		molybdopterin-dependent oxidoreductase		1450845	MJ_RS00035	1137	378	
gene	protein_coding	GCF_000091665.1	Primary Assembly	chromosome		NC_000909.1	8884	10005	+						1450846	MJ_RS00040	1122		old_locus_tag=MJ0007,MJ_0007
