# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	125	394	+						8366293	MEFER_RS00005	270		old_locus_tag=Mefer_0001
CDS	with_protein	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	125	394	+	WP_157200664.1	WP_157200664.1		cation:proton antiporter		8366293	MEFER_RS00005	270	89	
gene	protein_coding	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	533	1726	-					ftsY	8364664	MEFER_RS00010	1194		old_locus_tag=Mefer_0002
CDS	with_protein	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	533	1726	-	WP_012794866.1	WP_012794866.1		signal recognition particle-docking protein FtsY	ftsY	8364664	MEFER_RS00010	1194	397	
gene	protein_coding	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	1805	2539	+						8364665	MEFER_RS00015	735		old_locus_tag=Mefer_0003
CDS	with_protein	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	1805	2539	+	WP_012794867.1	WP_012794867.1		hypothetical protein		8364665	MEFER_RS00015	735	244	
gene	protein_coding	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	2823	3044	+						8364666	MEFER_RS00020	222		old_locus_tag=Mefer_0004
CDS	with_protein	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	2823	3044	+	WP_012794868.1	WP_012794868.1		hypothetical protein		8364666	MEFER_RS00020	222	73	
gene	pseudogene	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	3333	6665	-					carB	32154976	MEFER_RS08240	3333		pseudo
CDS	without_protein	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	3333	6665	-				carbamoyl-phosphate synthase large subunit	carB	32154976	MEFER_RS08240	3333		pseudo
gene	protein_coding	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	6836	8497	+					gltX	8364669	MEFER_RS00035	1662		old_locus_tag=Mefer_0007
CDS	with_protein	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	6836	8497	+	WP_012794871.1	WP_012794871.1		glutamate--tRNA ligase	gltX	8364669	MEFER_RS00035	1662	553	
gene	protein_coding	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	8499	9239	-					rrmJ	8364670	MEFER_RS00040	741		old_locus_tag=Mefer_0008
CDS	with_protein	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	8499	9239	-	WP_012794872.1	WP_012794872.1		23S rRNA (uridine(2552)-2'-O)-methyltransferase	rrmJ	8364670	MEFER_RS00040	741	246	
gene	protein_coding	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	9314	10561	+						8364671	MEFER_RS00045	1248		old_locus_tag=Mefer_0009
CDS	with_protein	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	9314	10561	+	WP_012794873.1	WP_012794873.1		flippase		8364671	MEFER_RS00045	1248	415	
gene	protein_coding	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	10546	11346	-						8364672	MEFER_RS00050	801		old_locus_tag=Mefer_0010
CDS	with_protein	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	10546	11346	-	WP_012794874.1	WP_012794874.1		MBL fold metallo-hydrolase		8364672	MEFER_RS00050	801	266	
gene	protein_coding	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	11405	11584	-						71811418	MEFER_RS08455	180		old_locus_tag=Mefer_0011
CDS	with_protein	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	11405	11584	-	WP_012794875.1	WP_012794875.1		protease complex subunit PrcB family protein		71811418	MEFER_RS08455	180	59	
gene	protein_coding	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	11877	12680	-					uppS	8364675	MEFER_RS00060	804		old_locus_tag=Mefer_0013
CDS	with_protein	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	11877	12680	-	WP_157200695.1	WP_157200695.1		polyprenyl diphosphate synthase	uppS	8364675	MEFER_RS00060	804	267	
gene	protein_coding	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	12703	13428	-					mtxX	8364676	MEFER_RS00065	726		old_locus_tag=Mefer_0014
CDS	with_protein	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	12703	13428	-	WP_012794878.1	WP_012794878.1		methanogenesis marker protein Mmp4/MtxX	mtxX	8364676	MEFER_RS00065	726	241	
gene	protein_coding	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	13434	14420	-						8364677	MEFER_RS00070	987		old_locus_tag=Mefer_0015
CDS	with_protein	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	13434	14420	-	WP_012794879.1	WP_012794879.1		methanogenesis marker 12 protein		8364677	MEFER_RS00070	987	328	
gene	protein_coding	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	14500	15258	+						8364678	MEFER_RS00075	759		old_locus_tag=Mefer_0016
CDS	with_protein	GCF_000023985.1	Primary Assembly	chromosome		NC_013156.1	14500	15258	+	WP_211204166.1	WP_211204166.1		tungstate ABC transporter permease WtpB		8364678	MEFER_RS00075	759	252	
