# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	747	1010	+					cas2	8514119	METVU_RS00005	264		old_locus_tag=Metvu_0001
CDS	with_protein	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	747	1010	+	WP_012819420.1	WP_012819420.1		CRISPR-associated endonuclease Cas2	cas2	8514119	METVU_RS00005	264	87	
gene	protein_coding	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	1045	2013	-					cas1b	8512328	METVU_RS00010	969		old_locus_tag=Metvu_0002
CDS	with_protein	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	1045	2013	-	WP_012819421.1	WP_012819421.1		type I-B CRISPR-associated endonuclease Cas1b	cas1b	8512328	METVU_RS00010	969	322	
gene	protein_coding	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	2259	2774	-					cas4	8512329	METVU_RS00015	516		old_locus_tag=Metvu_0003
CDS	with_protein	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	2259	2774	-	WP_012819422.1	WP_012819422.1		CRISPR-associated protein Cas4	cas4	8512329	METVU_RS00015	516	171	
gene	protein_coding	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	2797	4785	-					cas3	8512330	METVU_RS00020	1989		old_locus_tag=Metvu_0004
CDS	with_protein	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	2797	4785	-	WP_012819423.1	WP_012819423.1		type I-D CRISPR-associated helicase Cas3'	cas3	8512330	METVU_RS00020	1989	662	
gene	protein_coding	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	4810	5442	-					cas5d	8512331	METVU_RS00025	633		old_locus_tag=Metvu_0005
CDS	with_protein	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	4810	5442	-	WP_012819424.1	WP_012819424.1		type I-D CRISPR-associated protein Cas5/Csc1	cas5d	8512331	METVU_RS00025	633	210	
gene	protein_coding	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	5444	6490	-					cas7d	8512332	METVU_RS00030	1047		old_locus_tag=Metvu_0006
CDS	with_protein	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	5444	6490	-	WP_012819425.1	WP_012819425.1		type I-D CRISPR-associated protein Cas7/Csc2	cas7d	8512332	METVU_RS00030	1047	348	
gene	protein_coding	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	6505	9084	-						8512333	METVU_RS00035	2580		old_locus_tag=Metvu_0007
CDS	with_protein	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	6505	9084	-	WP_012819426.1	WP_012819426.1		hypothetical protein		8512333	METVU_RS00035	2580	859	
gene	protein_coding	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	9237	9839	+					csa3	8512334	METVU_RS00040	603		old_locus_tag=Metvu_0008
CDS	with_protein	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	9237	9839	+	WP_012819427.1	WP_012819427.1		CRISPR-associated CARF protein Csa3	csa3	8512334	METVU_RS00040	603	200	
gene	protein_coding	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	9861	10613	-					cas6	8512335	METVU_RS00045	753		old_locus_tag=Metvu_0009
CDS	with_protein	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	9861	10613	-	WP_012819428.1	WP_012819428.1		CRISPR-associated endoribonuclease Cas6	cas6	8512335	METVU_RS00045	753	250	
gene	protein_coding	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	10953	12368	+						8512336	METVU_RS00050	1416		old_locus_tag=Metvu_0010
CDS	with_protein	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	10953	12368	+	WP_012819429.1	WP_012819429.1		aspartate kinase		8512336	METVU_RS00050	1416	471	
gene	protein_coding	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	12416	12682	+						8512337	METVU_RS00055	267		old_locus_tag=Metvu_0011
CDS	with_protein	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	12416	12682	+	WP_245528140.1	WP_245528140.1		tetratricopeptide repeat protein		8512337	METVU_RS00055	267	88	
gene	protein_coding	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	12670	13395	-						8512338	METVU_RS00060	726		old_locus_tag=Metvu_0012
CDS	with_protein	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	12670	13395	-	WP_012819431.1	WP_012819431.1		biotin--[acetyl-CoA-carboxylase] ligase		8512338	METVU_RS00060	726	241	
gene	protein_coding	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	13401	14201	-						8512339	METVU_RS00065	801		old_locus_tag=Metvu_0013
CDS	with_protein	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	13401	14201	-	WP_012819432.1	WP_012819432.1		indole-3-glycerol-phosphate synthase		8512339	METVU_RS00065	801	266	
gene	protein_coding	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	14310	14771	-					sepF	8512340	METVU_RS00070	462		old_locus_tag=Metvu_0014
CDS	with_protein	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	14310	14771	-	WP_012819433.1	WP_012819433.1		cell division protein SepF	sepF	8512340	METVU_RS00070	462	153	
gene	protein_coding	GCF_000024625.1	Primary Assembly	chromosome		NC_013407.1	14778	15329	-						8512341	METVU_RS00075	552		old_locus_tag=Metvu_0015
